"Run.ID","Future.ID","time","S","Delta.Temp","CO2.Concentration","alfa","epsilon","size.factor","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","lambda.S","sigma.utility","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Cost.S.Damage","policy.status","Policy.Duration","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","rho","Region","Ace","Agg.demand.ce.tech","Agg.demand.re.tech","Are","Consumption","Gamma.ce.t","Gamma.re.t","L","Labor.ce","Labor.re","Price.ce","Price.re","Profits.ce","Profits.re","RelLabor","RelPrice","Utility.Consumer","Y","Yce","Yce.0","Yre","Yre.0","labor.growth","sce","sre"
4956,156,2262,1027.87315690212,5.98382244496677,1756.36384309788,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0.497210632736873,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-7.88706301279194,0.008,"N",305.202856603749,222.496998806493,402.33979350354,338.642274287883,495.675243915387,0.25,0.25,1,0.394158700942883,0.605841299057117,1.50984782703621,1.3347170138146,0.983881728722314,5.33743970061796,1.53704915712341,0.884007639653737,-100,563.71997059795,147.363856689617,193.2,256.225717465464,45.55074,0,0.0126976677512725,0.987302332248728
4956,156,2262,1027.87315690212,5.98382244496677,1756.36384309788,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0.497210632736873,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-7.88706301279194,0.008,"S",211.622676523273,782.356495526906,190.737280893953,62.7048718266978,215.579159509087,0.25,0.25,4,3.2292475340239,0.770752465976101,1.09485491572118,2.45612053562303,3.45958042321998,1.51819246100351,0.238678657444288,2.2433296872081,-100,968.286550288579,714.575496984065,257.54634,76.0271311146431,27.82166,0,0.874504546458788,0.125495453541212
4956,156,2267,988.19800614932,6,1796.03899385068,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-7.95541838394582,0.008,"N",305.292901298903,221.199450013711,413.293332660748,347.112634843501,502.630356128654,0.25,0.25,1,0.386375406671409,0.613624593328591,1.52387297508691,1.32526284694852,0.97814396796063,5.48274935107748,1.58815644767589,0.869667530440286,-100,571.726620161903,145.156094786113,193.2,265.078986836851,45.55074,0,0.0109370120162979,0.989062987983702
4956,156,2267,988.19800614932,6,1796.03899385068,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-7.95541838394582,0.008,"S",213.64852987228,789.530242913958,193.602608157719,63.5789385523692,217.797759178965,0.25,0.25,4,3.2256427174657,0.774357282534303,1.09538109634699,2.45020586987238,3.49130273416552,1.54099931989218,0.240062942601,2.23685243249462,-100,978.254204197565,720.781329481565,257.54634,77.3555217204174,27.82166,0,0.875479722281432,0.124520277718568
4956,156,2272,948.187623413749,6,1836.04937658625,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.02190358753257,0.008,"N",305.370323462888,219.88297922205,424.5410646339,355.809599850573,509.786842472656,0.25,0.25,1,0.378623630558584,0.621376369441416,1.53827944024309,1.31601737586941,0.972322534119903,5.63196176343332,1.64114524105297,0.855512556068125,-100,579.964620848569,142.940855523169,193.2,274.206033716247,45.55074,0,0.00938104092465986,0.99061895907534
4956,156,2272,948.187623413749,6,1836.04937658625,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.02190358753257,0.008,"S",215.634365147002,796.522163430751,196.544694058306,64.4706361132426,219.992492377565,0.25,0.25,4,3.22172277976575,0.778277220234246,1.09595432260282,2.44382033982733,3.52222100669078,1.5644171468265,0.241571753200576,2.22985601628306,-100,988.114950290817,726.784088536702,257.54634,78.7362525580245,27.82166,0,0.876295083098913,0.123704916901087
4956,156,2277,907.851370788725,6,1876.38562921127,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.08651519353764,0.008,"N",305.43660986936,218.549731210512,436.088478540919,364.737789516351,517.150687000524,0.25,0.25,1,0.370910525211902,0.629089474788097,1.55307067405603,1.3069816347944,0.966426911412884,5.78514975632383,1.69606800569678,0.841546786393862,-100,588.440788042455,140.721046930687,193.2,283.61164142761,45.55074,0,0.00801237949864286,0.991987620501357
4956,156,2277,907.851370788725,6,1876.38562921127,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.08651519353764,0.008,"S",217.580353674304,803.331264326303,199.569420458521,65.3814585864775,222.164412943902,0.25,0.25,4,3.21747648048027,0.782523519519732,1.09657651047304,2.43695677577175,3.55233085085091,1.58849275908165,0.243210330912171,2.22233173198328,-100,997.873536348676,732.581134698717,257.54634,80.1731342021933,27.82166,0,0.876947722072669,0.123052277927331
4956,156,2282,867.198636479982,6,1917.03836352002,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.1492471700838,0.008,"N",305.493118828433,217.201697487713,447.941294612459,373.901994848529,524.72790786916,0.25,0.25,1,0.363242820320144,0.636757179679856,1.56825029649977,1.29815595333622,0.960465906290667,5.94238921432888,1.75297939576245,0.827773446772889,-100,597.161979708868,138.499382383343,193.2,293.300738976757,45.55074,0,0.00681410375037028,0.99318589624963
4956,156,2282,867.198636479982,6,1917.03836352002,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.1492471700838,0.008,"S",219.486710987644,809.956601528096,202.683146053933,66.3130188689867,224.314688966152,0.25,0.25,4,3.21289144708767,0.787108552912329,1.09724978011233,2.42960744493645,3.58162809195724,1.61327676933088,0.244984483875359,2.21427015887643,-100,1007.53522437629,738.169755153815,257.54634,81.6703127907934,27.82166,0,0.877433918718307,0.122566081281693
