"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,2402.713,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,0.959295235776013,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996416037514894,0.987147212064628,381.524,0.997949499956105,0,9.9,0,0,0,0,0,0,0,0,0,0,0,4356,265,1789.67329942744,4195.05775621778
2017,121.174352900117,250.557987784378,25.4670499606042,78.252619356151,2388.22677994162,1.62698426995342,0.377775067455829,0.274192120600223,1.90973239347189,87.2624981796285,0.385874766950317,45.6935738629775,0.346249590284667,0.725807879399777,1.17378663625713,230.990622984487,1.0214405348374,196.790980446881,0.653750409715333,318.253121164115,2.12147814950235,0.222189163495681,0.727184203990746,2.34535062172288,66.0955161345456,0.292274372346961,28.181507499289,0.264413107553565,3.27281579600925,1.1055266453124,297.474076119066,1.31543036459851,269.079065059537,0.735586892446435,363.569592253611,1.08193212765802,0.25,0.25,0.25,0.25,1,4,283.595356269343,80.9942159142982,0.957544942346331,0.949046542563992,396.010220058381,0.997353111515017,0,9.9,0,0,0,0,0,0,0,0,-2.94568597807603,0,0,4356,265,1789.67329942744,4195.05775621778
2022,122.250259749799,254.640100807498,26.0991806322273,81.4333702788574,2373.00818799723,1.57330273224389,0.789051673529632,0.441044652429131,1.86421068747234,162.552452250679,2.1564208315575,77.6047919236332,0.79341794145675,0.558955347570869,1.18490272041513,183.348806366445,0.81076842175242,154.737433890108,0.20658205854325,322.383435126201,2.14337227747286,0.425142792268764,1.19326370543391,2.36517329594243,112.555762041143,0.97553429630203,47.5888013086558,0.45135883060432,2.80673629456609,1.1034822652139,264.748136597805,1.17071626003549,239.92060855322,0.54864116939568,372.20335572596,1.20602850154445,0.25,0.25,0.25,0.25,1,4,284.714788062796,82.7787402910446,0.920156076618188,0.912217688997726,411.228812002772,0.996660833662619,1,9.9,0.25,2,0.48,0.11,0,0.25,0.48,0,-3.11093625656658,42.2134655201173,65.7092214328951,4356,265,1789.67329942744,4195.05775621778
2027,124.710466362643,255.935804778483,27.1952806324365,83.7955876402716,2361.46650858647,1.55772775609264,0.804909257341293,0.445955526056173,1.85108502292613,165.911155480666,2.20097738860651,79.7699330657299,0.80055387824931,0.554044473943827,1.18832383623268,183.450403919484,0.81121768613196,154.377450258908,0.19944612175069,325.392708702366,2.12543337630373,0.432349585278052,1.20738565423363,2.34892891273999,117.456398704799,1.01800870234234,50.0042372792745,0.454298933494067,2.79261434576637,1.1051529250119,271.6699696364,1.20132460573216,245.821156048132,0.545701066505933,383.820887562635,1.29711759033898,0.25,0.25,0.25,0.25,1,4,287.34723488369,85.3612565125695,0.884243836621697,0.876908072188351,422.770491413526,0.99609335358519,1,9.9,0.25,2,0.48,0.11,0,0.25,0.48,0,-2.32740449415307,42.1585247356623,67.4188759018304,4356,265,1789.67329942744,4195.05775621778
2032,127.242965499156,257.192044061593,28.3148402437104,86.1296134472909,2349.61243829807,1.54193694142291,0.821479655701941,0.450995789675932,1.83781651187616,169.365283231574,2.24679984735006,82.0185808006596,0.807740896958535,0.549004210324068,1.1918882429655,183.492191230591,0.811402469621675,153.950835838476,0.192259103041465,328.426385127124,2.10718524334529,0.439870266642678,1.22197194242594,2.33242998818231,122.473868048372,1.06149571123941,52.5091293924829,0.457669152170348,2.77802805757406,1.10689366089117,278.431795318101,1.23122539889664,251.543400378618,0.542330847829652,395.392069974363,1.38811929131341,0.25,0.25,0.25,0.25,1,4,290.000206158194,87.9333608084384,0.849732778774842,0.842945394740524,434.624561701935,0.995474220705828,1,9.9,0.25,2,0.48,0.11,0,0.25,0.48,0,-2.38921296171869,42.086396381552,69.0880325627957,4356,265,1789.67329942744,4195.05775621778
2037,129.850286437903,258.407885460627,29.4597547826593,88.4335677066675,2337.45746700713,1.52593773161019,0.838796124572516,0.456165919300879,1.8244138677262,172.917686453483,2.2939260284919,84.354073199084,0.814966006114929,0.543834080699121,1.19560177976663,183.473357154614,0.811319185337704,153.456912041756,0.185033993885071,331.486247116334,2.08857450611374,0.447744329023602,1.23708121675206,2.31563025277963,127.617358337008,1.10607495878985,55.1112847933383,0.461502341504812,2.76291878324794,1.10871326160558,285.022835722574,1.26037097956522,257.075337323754,0.538497658495188,406.915120022244,1.47888916233203,0.25,0.25,0.25,0.25,1,4,292.675262467412,90.494650722289,0.816568267947566,0.810280734745926,446.779532992875,0.99480277371509,1,9.9,0.25,2,0.48,0.11,0,0.25,0.48,0,-2.44868302840027,41.9967988035209,70.7139579304199,4356,265,1789.67329942744,4195.05775621778
2042,132.53501507065,259.582496261301,30.63207359939,90.7054798067373,2325.01377121901,1.50973839470344,0.856893087155166,0.461466033280333,1.81088652886969,176.571241538134,2.34239409024488,86.7798188697263,0.822215320453599,0.538533966719667,1.19947040839841,183.393246280772,0.810964935053576,152.895181904194,0.177784679546401,334.574261279202,2.0695516798225,0.456013276797983,1.25277230383732,2.29848736247475,132.896759504948,1.15183216224052,57.8192256675536,0.46583353960671,2.74722769616268,1.11062090639451,291.431776807283,1.28871131704181,262.404367799431,0.53416646039329,418.38841465018,1.56929208815526,0.25,0.25,0.25,0.25,1,4,295.374128555723,93.0447592614445,0.784697798250841,0.77886659877273,459.223228780995,0.994078534926552,1,9.9,0.25,2,0.48,0.11,0,0.25,0.48,0,-2.50567583868033,41.8894872617897,72.2937815101111,4356,265,1789.67329942744,4195.05775621778
2047,135.299790851557,260.715152754236,31.8340132917959,92.9432858272677,2312.29423723418,1.49334802263539,0.875806121832096,0.466895865003734,1.7972446457589,180.328844739393,2.39224245431279,89.2992905538973,0.82947412847428,0.533104134996266,1.20350020123722,183.251370157502,0.810337558836475,152.265342348191,0.17052587152572,337.692584441623,2.05007071233877,0.464721062575163,1.26910460824022,2.2809624998209,138.32271632593,1.19885958112279,60.6422579664465,0.470700015023455,2.73089539175978,1.11262625532498,297.646755151231,1.31619395127875,267.517285096148,0.529299984976545,429.810531407502,1.65920176138334,0.25,0.25,0.25,0.25,1,4,298.098699039352,95.5833639909099,0.754070910001161,0.748656938876206,471.942762765824,0.993301208825233,1,9.9,0.25,2,0.48,0.11,0,0.25,0.48,0,-2.5600480833552,41.7642567406024,73.8244922582783,4356,265,1789.67329942744,4195.05775621778
2052,138.147303446359,261.80524818024,33.0679716554094,95.1448260125847,2299.31248433446,1.47677652230597,0.895571945124845,0.472454737172142,1.78349905994764,184.19340653147,2.44350973104647,91.9160180649721,0.836726978760904,0.527545262827858,1.20769732793607,183.047417580902,0.809435680542747,151.567295336925,0.163273021239096,340.84356892663,2.03008865935942,0.473914535033822,1.28613843956142,2.26302009820057,143.90668307671,1.24725649102781,63.5905457451024,0.476141268707763,2.71386156043858,1.11473953995421,303.655348039577,1.34276394903101,272.400266749353,0.523858731292237,441.180294343511,1.74850014423772,0.25,0.25,0.25,0.25,1,4,300.851043180793,98.1101972887368,0.724639109928726,0.719607156499855,484.924515665542,0.992470681137271,1,9.9,0.25,2,0.48,0.11,0,0.25,0.48,0,-2.61165178031946,41.6209445217893,75.3029358714317,4356,265,1789.67329942744,4195.05775621778
2057,141.080289126325,262.852299931956,34.3365422363643,97.307842560483,2286.0828877794,1.46003459797838,0.916228389906733,0.47814153820742,1.7696612747342,188.167846015302,2.49623464523899,94.6335806431499,0.843957785152662,0.52185846179258,1.21206804084269,182.78126370944,0.808258748123145,150.801157649831,0.156042214847338,344.029766647392,2.0095654761978,0.483643902608448,1.30393526845124,2.24462767583536,149.660978691455,1.29712966163628,66.6751908579923,0.482198971764355,2.69606473154876,1.11697165502779,309.444568378273,1.36836388136872,277.038872907275,0.517801028235645,452.496825638613,1.83707692169041,0.25,0.25,0.25,0.25,1,4,303.633408598367,100.62505789068,0.696355794502455,0.69167409616013,498.154112220603,0.99158701855819,1,9.9,0.25,2,0.48,0.11,0,0.25,0.48,0,-2.66033414194987,41.4594324628521,76.7258132807056,4356,265,1789.67329942744,4195.05775621778
