"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,2402.713,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,0.959295235776013,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996416037514894,0.987147212064628,381.524,0.997949499956105,0,9.9,0,0,0,0,0,0,0,0,0,0,0,160,295,0,0
2017,121.174352900117,250.557987784378,25.4670499606042,78.252619356151,2388.22677994162,1.62698426995342,0.377775067455829,0.274192120600223,1.90973239347189,87.2624981796285,0.385874766950317,45.6935738629775,0.346249590284667,0.725807879399777,1.17378663625713,230.990622984487,1.0214405348374,196.790980446881,0.653750409715333,318.253121164115,2.12147814950235,0.222189163495681,0.727184203990746,2.34535062172288,66.0955161345456,0.292274372346961,28.181507499289,0.264413107553565,3.27281579600925,1.1055266453124,297.474076119066,1.31543036459851,269.079065059537,0.735586892446435,363.569592253611,1.08193212765802,0.25,0.25,0.25,0.25,1,4,283.595356269343,80.9942159142982,0.924978452740712,0.916769086961829,396.010220058381,0.997353111515017,0,9.9,0,0,0,0,0,0,0,0,-2.94568597807603,0,0,160,295,0,0
2022,122.222650945605,254.697478180243,26.0897489917547,81.4503314302586,2372.92265054562,1.63547862969518,0.373861076879102,0.272124367718732,1.91697426904735,87.8485263416705,0.388466183482867,45.8266591055118,0.342854473310352,0.727875632281268,1.17211820089917,234.976390361382,1.03906559817803,200.471582286773,0.657145526689648,322.824916703052,2.14419056109895,0.217507000941011,0.714597947356031,2.36591486793287,67.4123236557503,0.298097295205728,28.493131587042,0.25494297487333,3.28540205264397,1.10340699696033,309.931741801879,1.37051816224791,280.886148679209,0.74505702512667,377.344065457629,1.20671293767026,0.25,0.25,0.25,0.25,1,4,287.66928327409,84.0628241823233,0.858661844266034,0.851382570650169,411.314349454384,0.996656759984611,1,9.9,0,0,0,0,0,0,0,0,-3.11052276628291,0,0,160,295,0,0
2027,123.269430427759,258.92758270645,26.692405915777,84.7069865255961,2356.77901612239,1.64420650267396,0.369902508986305,0.270021046432,1.92442589450343,88.4266439574622,0.391022619579898,45.9496227992086,0.339376538289217,0.729978953568,1.17042834423398,239.053917746571,1.05709642427534,204.244812528891,0.660623461710783,327.480561704033,2.16783444486448,0.212788314692133,0.701815187743295,2.38736385587553,68.6543589821645,0.303589575419132,28.7573923066648,0.245430882605454,3.29818481225671,1.10126668645344,322.641584344023,1.42672108596927,292.973162915761,0.754569117394546,391.295943326188,1.3334040542259,0.25,0.25,0.25,0.25,1,4,291.817928534464,87.1709537744915,0.797099163964007,0.790637628054648,427.457983877612,0.995852836943537,1,9.9,0,0,0,0,0,0,0,0,-3.27976999104179,0,0,160,295,0,0
2032,124.314234861384,263.251107496142,27.2748456929608,88.023804021889,2339.77388323593,1.65317588505801,0.365899551228454,0.267881742035403,1.9320948493636,88.9963303205021,0.39354177267726,46.0620918014538,0.335814142600647,0.732118257964597,1.16871705353711,243.226125918193,1.07554592881025,208.113781844863,0.664185857399354,332.222456238695,2.19240784096204,0.208045011505386,0.68886509864772,2.40969959561598,69.821692453808,0.308751524030739,28.9752683615983,0.235896581412121,3.31113490135228,1.09911100963705,335.608587529149,1.48406117405389,305.345487932081,0.764103418587879,405.430279982956,1.46178282912656,0.25,0.25,0.25,0.25,1,4,296.043430754301,90.3197306232031,0.73994966887771,0.734208089723333,444.463116764066,0.994933521275009,1,9.9,0,0,0,0,0,0,0,0,-3.45339617979019,0,0,160,295,0,0
2037,125.356595650222,267.670950387643,27.8369280049639,91.4019632617018,2321.88490017872,1.66239496392583,0.361852494513143,0.265706084888807,1.93998892164001,89.5570560374436,0.396021301797575,46.1636945646756,0.332165700615475,0.734293915111193,1.16698435915532,247.49603055228,1.09442744710218,212.08170324701,0.667834299384525,337.053086589723,2.21791003584518,0.203288189427824,0.675775566365328,2.43292517910082,70.9145519271951,0.313584148622057,29.1478556498002,0.226360795616164,3.32422443363467,1.09694493454677,348.837540079389,1.54255960223106,318.008251000784,0.773639204383836,419.752092006584,1.59163777992884,0.25,0.25,0.25,0.25,1,4,300.348005460102,93.5102722967668,0.686897036095119,0.681790152063745,462.352099821276,0.993890738048974,1,9.9,0,0,0,0,0,0,0,0,-3.63152249478007,0,0,160,295,0,0
2042,126.396029278086,272.190122771734,28.3785488450659,94.8426103857712,2303.08922118198,1.67187222763872,0.357761689605482,0.263493728203095,1.94811620432397,90.1082792991869,0.398458811061005,46.2540576887486,0.32842967066403,0.736506271796905,1.16523031612016,251.866764712994,1.11375483356086,216.151915401265,0.67157032933597,341.975044012181,2.24434140158266,0.198528178517636,0.662573253014976,2.45704463265485,71.9333228129097,0.318089153478687,29.2763598417767,0.216845029506582,3.33742674698502,1.09477311737073,362.333061986561,1.60223680010457,330.96634931698,0.783154970493418,434.266384799471,1.72276985773438,0.25,0.25,0.25,0.25,1,4,304.733961719254,96.7436938737021,0.637647612821519,0.63310094570209,481.147778818017,0.992716097885475,1,9.9,0,0,0,0,0,0,0,0,-3.81424755452654,0,0,160,295,0,0
2047,127.432037377828,276.811754320667,28.8996433316775,98.3468576395773,2283.3635097176,1.68161647570475,0.35362755031848,0.261244350586156,1.95648510634803,90.6494462437086,0.400851851289679,46.3328066999266,0.324604564836924,0.738755649413844,1.16345500571293,256.341583573081,1.13354248256016,220.327887468241,0.675395435163076,346.991029816789,2.27170306198676,0.193774610759795,0.649283739202543,2.48206261037872,72.8785535321165,0.322268963719019,29.3620931347081,0.20737138510384,3.35071626079746,1.0925999317041,376.099599665601,1.66311242972129,344.224440028117,0.79262861489616,448.978153197717,1.85499240324015,0.25,0.25,0.25,0.25,1,4,309.203706669741,100.021108078621,0.591928791751804,0.587877174210487,500.873490282404,0.991400832498246,1,9.9,0,0,0,0,0,0,0,0,-4.0016692605052,0,0,160,295,0,0
2052,128.464106869097,281.539097789882,29.4001882107063,101.915783540976,2262.68394229253,1.6916368282389,0.349450556957199,0.258957658845356,1.96510436329834,91.1799914115264,0.40319792202177,46.3995669209573,0.320688959814115,0.741042341154643,1.16165853716021,260.923869189009,1.1538053495538,224.613223974459,0.679311040185885,352.103860600535,2.29999660973951,0.189036474113256,0.635931624399437,2.50798413169087,73.7509593700888,0.326126742334532,29.4064696973845,0.197962358287298,3.36406837560056,1.09042949066561,390.141424907783,1.72520538094222,357.786934641356,0.802037641712702,463.892384277872,1.98813096956731,0.25,0.25,0.25,0.25,1,4,313.759750181137,103.343625907503,0.549487502875242,0.545873825253004,521.553057707469,0.989935719345581,1,9.9,0,0,0,0,0,0,0,0,-4.1938847034185,0,0,160,295,0,0
2057,129.491710161093,286.375533951898,29.8802040045706,105.550433969174,2241.02621217495,1.7019427353313,0.345231259839729,0.256633390961239,1.97398304814073,91.699338285972,0.405494473900568,46.4539644209925,0.316681508694639,0.743366609038762,1.15984104938553,265.617135390761,1.17455897269794,229.011669772751,0.683318491305361,357.316473676733,2.32922386682111,0.184322153983443,0.62254059290702,2.53481435647052,74.5514246254432,0.32966639969371,29.4109998371828,0.1886406168294,3.37745940709298,1.08826566333016,404.462637910253,1.78853378483914,371.657998169832,0.8113593831706,479.014062535696,2.12202304008063,0.25,0.25,0.25,0.25,1,4,318.404709693336,106.71235778139,0.510088813366626,0.506862953914174,543.210787825052,0.98831099390394,1,9.9,0,0,0,0,0,0,0,0,-4.39099042089391,0,0,160,295,0,0
