"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,2402.713,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,0.959295235776013,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996416037514894,0.987147212064628,381.524,0.997949499956105,0,9.9,0,0,0,0,0,0,0,0,0,0,0,4960,245,1911.31096958114,3630.73254935104
2017,121.174352900117,250.557987784378,25.4670499606042,78.252619356151,2388.22677994162,1.62698426995342,0.377775067455829,0.274192120600223,1.90973239347189,87.2624981796285,0.385874766950317,45.6935738629775,0.346249590284667,0.725807879399777,1.17378663625713,230.990622984487,1.0214405348374,196.790980446881,0.653750409715333,318.253121164115,2.12147814950235,0.222189163495681,0.727184203990746,2.34535062172288,66.0955161345456,0.292274372346961,28.181507499289,0.264413107553565,3.27281579600925,1.1055266453124,297.474076119066,1.31543036459851,269.079065059537,0.735586892446435,363.569592253611,1.08193212765802,0.25,0.25,0.25,0.25,1,4,283.595356269343,80.9942159142982,0.924978452740712,0.916769086961829,396.010220058381,0.997353111515017,0,9.9,0,0,0,0,0,0,0,0,-2.94568597807603,0,0,4960,245,1911.31096958114,3630.73254935104
2022,122.251243628102,254.638051589338,26.1019084449335,81.4284554611141,2373.02521508959,1.57909747591647,0.881073579200236,0.468388684495179,1.86910375272369,170.442321820197,2.26108784126674,82.0703984006472,0.816258570229417,0.531611315504821,1.18365318242239,174.103608665033,0.769886157516775,147.090052433031,0.183741429770583,319.649294066162,2.10716442866356,0.494804002872156,1.32406389579216,2.33241118360915,132.0664227092,1.16799544244016,53.7911593184867,0.511684815317347,2.67593610420784,1.10689567073247,253.56120978301,1.12124766966047,229.074172469408,0.488315184682653,371.609358040111,1.20589224064111,0.25,0.25,0.25,0.25,1,4,282.128242236321,82.4036272154274,0.858602833022942,0.851175540424806,411.21178491041,0.996661644330519,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-3.11093625656658,48.5755749601,74.7652635420313,4960,245,1911.31096958114,3630.73254935104
2027,124.782521619865,255.788015628983,27.3506477261294,83.5183357934411,2362.46496934912,1.56227232545442,0.900153506699979,0.473726729722635,1.85491100025871,173.963691174099,2.3078023271156,84.4069187334876,0.823270727512558,0.526273270277365,1.18731604601596,173.934024465088,0.769136256184621,146.493450542274,0.176729272487442,322.53931155918,2.07718087098176,0.509191831423338,1.3495748408421,2.30535905463174,138.61613917478,1.22592113486176,57.1213980535787,0.520568296442416,2.6504251591579,1.10984993499489,258.616348671468,1.14360149382523,233.019204233821,0.479431703557584,382.563571882738,1.2893364186914,0.25,0.25,0.25,0.25,1,4,284.653250326073,84.8262384890704,0.797030712261521,0.790385709772198,421.77203065088,0.996143845293414,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.12432500271682,48.4407275741814,76.2171791562029,4960,245,1911.31096958114,3630.73254935104
2032,127.388550676365,256.898113947508,28.6388846448515,85.5571165838585,2351.70882006774,1.5452632494273,0.920078971325337,0.47918808812861,1.84060819025414,177.58074516295,2.35578616533169,86.8314459823129,0.830286761864816,0.52081191187139,1.19112920787853,173.705383589451,0.768125206232552,145.832528025092,0.169713238135184,325.455796368799,2.04691503618271,0.524361049995801,1.37594974628155,2.27812667895156,145.380224941079,1.2857427093789,60.6249050898201,0.53022166043945,2.62405025371845,1.1129561504419,263.389536074678,1.16470852852223,236.6576041384,0.46977833956055,393.43375902986,1.37220779837406,0.25,0.25,0.25,0.25,1,4,287.200736947662,87.229683013811,0.739873760640436,0.733921012267352,432.528179932255,0.995586321860267,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.16243285216417,48.2858009744449,77.5823941429098,4960,245,1911.31096958114,3630.73254935104
2037,130.071805526876,257.967803455767,29.9696497050469,87.5420050117591,2340.77506283699,1.5280803601096,0.940887435549449,0.484771768993956,1.82620633745278,181.295971973298,2.40507236419777,89.3471736625091,0.837292593516006,0.515228231006044,1.19509836336212,173.417529675783,0.766852316226312,145.10732755747,0.162707406483994,328.400929497609,2.01630914914835,0.540400591095128,1.40327287387221,2.25066714219126,152.373647805096,1.34759254118827,64.3164698596469,0.540682098082432,2.59672712612779,1.11623118069066,267.866038268933,1.18450362122522,239.973620969082,0.459317901917568,404.219278259955,1.4543616796792,0.25,0.25,0.25,0.25,1,4,289.772629168024,89.6137941116234,0.686815418549595,0.681476258644856,443.461937163011,0.994989629502203,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.19683024352842,48.1106660565168,78.856340697787,4960,245,1911.31096958114,3630.73254935104
2042,132.834805610747,258.996653131086,31.3461600276913,89.470128587353,2329.68284223322,1.51073450057846,0.962617521352173,0.490476371926489,1.81171706710459,185.111863574959,2.45569398218541,91.9573371816373,0.844273642709861,0.509523628073511,1.19922929304314,173.070480769395,0.765317665962263,144.318089770985,0.155726357290139,331.377076542606,1.98531570840057,0.557405050203647,1.43162512573273,2.22294364796368,159.612048097077,1.41160895337055,68.2120061078133,0.551983460084632,2.56837487426727,1.11969277156153,272.030986509406,1.20292102234459,242.951453665303,0.448016539915368,414.92003565909,1.53566191029267,0.25,0.25,0.25,0.25,1,4,292.371019243506,91.978527297611,0.637561819599824,0.632767376852031,454.554157766782,0.994354556334201,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.22734873240447,47.9152444766875,80.0344038742479,4960,245,1911.31096958114,3630.73254935104
2047,135.68011220448,259.984349107359,32.7718151576149,91.3385537346907,2318.45214258748,1.49323721526325,0.985308993110374,0.496300070432208,1.79715257589531,189.030912069505,2.50768407951406,94.665207141803,0.851214938829055,0.503699929567792,1.20352785044838,172.66443527071,0.76352213276708,143.465259409147,0.148785061170945,334.386790187011,1.95389726295903,0.575475193817913,1.46108347773687,2.19492927316549,167.111661870551,1.47793553758315,72.3285623450036,0.564154522288108,2.53891652226313,1.12335961300311,275.869543087996,1.21989511953512,245.575450545623,0.435845477711892,425.536588413432,1.61598045835219,0.25,0.25,0.25,0.25,1,4,294.998166861662,94.3239837983615,0.591840163996515,0.587530026776213,465.784857412517,0.993682121080945,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.25382002995533,47.6995106780376,81.111972158722,4960,245,1911.31096958114,3630.73254935104
2052,138.610325399807,260.930698910745,34.2501869960692,93.1443112995865,2307.10376678402,1.47560071302856,1.00900273653804,0.502240598376077,1.78252558587258,193.055606336705,2.56107567366273,97.4740823245915,0.858101242406951,0.497759401623923,1.2079999488575,172.199776483444,0.761467411609789,142.549489878959,0.141898757593049,337.432811484016,1.92202645188279,0.59471834641698,1.49172008399651,2.16660695137285,174.889207855635,1.54672015427523,76.6843046255238,0.577216889407596,2.50827991600349,1.12725137016219,279.367112959994,1.23536137350909,247.830360072925,0.422783110592404,436.070261190907,1.69519702636008,0.25,0.25,0.25,0.25,1,4,297.656500294902,96.6504369635213,0.549397208505925,0.545518290620996,477.13323321598,0.99297357035066,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.27608220882823,47.4634935710159,82.0845020740865,4960,245,1911.31096958114,3630.73254935104
2057,141.62808113439,261.835634524558,35.7850029193947,94.8844289755581,2295.65930155606,1.45783782094815,1.03374073669341,0.508295240412076,1.76784929000943,197.188429278154,2.61590170280399,100.387282645226,0.864917178915791,0.491704759587924,1.21265154779676,171.677075354508,0.759156027217634,141.571645759595,0.135082821084209,340.518069788267,1.88968622358321,0.615248640958597,1.52360107380983,2.13796960305804,182.961734508489,1.61811357999308,81.2984653918608,0.591182549367561,2.47639892619017,1.13138868049958,282.509600528742,1.2492574535381,249.70163251412,0.408817450632439,446.523271019257,1.77319871417942,0.25,0.25,0.25,0.25,1,4,300.348616333771,98.9583606584257,0.50999786465599,0.506503438186142,488.577698443939,0.992230375009936,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.29398181724599,47.207277747979,82.9475967242274,4960,245,1911.31096958114,3630.73254935104
2062,144.736048189074,262.699214398819,37.3801201944914,96.5559729425952,2284.14106550565,1.43996193096055,1.05956605326516,0.514460826146053,1.75313729143374,201.43185555575,2.67219499580258,103.408142012605,0.871647381756178,0.485539173853946,1.21748863892831,171.097091532439,0.756591338756446,140.532803396873,0.128352618243822,343.645681370979,1.85687022273628,0.637187068395245,1.55678500202133,2.10902039442123,191.346418881963,1.69226772859208,86.1912470921124,0.606051103149966,2.44321499797867,1.13579310422318,285.283721145935,1.26152461490732,251.175782002175,0.393948896850034,456.898862147021,1.8498797522684,0.25,0.25,0.25,0.25,1,4,303.077279033075,101.248459974496,0.473423897413545,0.470272765436025,500.095934494347,0.991454225255815,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.30737578122972,46.9310042900466,83.6971012286721,4960,245,1911.31096958114,3630.73254935104
2067,147.936925298318,263.521624211626,39.0394906191644,98.156098892481,2272.57203744829,1.42198693874519,1.08652279530283,0.520733728741811,1.73840353599558,205.788350029362,2.72998825148952,106.540001323891,0.878276642217732,0.479266271258189,1.22251723178948,170.460772500227,0.753777535996006,139.434249324005,0.121723357782268,346.818946658042,1.82358326604687,0.660661288987557,1.59132098367955,2.07977304728333,200.060314649368,1.76933342275901,91.3836724469333,0.621806766223426,2.40867901632045,1.14048702135319,287.67736521714,1.27210930899019,252.24080575315,0.378193233776574,467.201445717987,1.92514131367362,0.25,0.25,0.25,0.25,1,4,305.845417214569,103.521703095131,0.439472717135491,0.436628503983379,511.664962551714,0.990647023997513,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.31613701488487,46.634871094899,84.3292144404966,4960,245,1911.31096958114,3630.73254935104
2072,151.233438425021,264.303176358123,40.7671143682461,99.6821129033661,2260.97576237717,1.40392717567744,1.11465609597901,0.527109868171243,1.72366223913087,210.260366955762,2.78931402803514,109.786201707131,0.88479006346024,0.472890131828757,1.2277433395355,169.769250751713,0.750719626824075,138.277476476429,0.11520993653976,350.041346119008,1.78984183989163,0.685805154260965,1.6272465475089,2.05025213372079,209.120047894811,1.84945770358171,96.8973728804444,0.638415298382453,2.3727534524911,1.14549346653162,289.680012268432,1.28096501425101,252.886656041383,0.361584701617547,477.436739569558,1.9988914138612,0.25,0.25,0.25,0.25,1,4,308.656120750664,105.779353254445,0.407956258108196,0.405386798717884,523.261237622829,0.989810878089903,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.32015846520128,46.3191327181135,84.8406161679515,4960,245,1911.31096958114,3630.73254935104
2077,154.628338268816,265.044308132461,42.5669825056015,101.131541901001,2249.37623259461,1.38579733462402,1.14401208839469,0.533584719315299,1.70892780791086,214.850350022558,2.85020474339925,113.150078151451,0.891173215336929,0.466415280684701,1.23317296491591,169.023838980266,0.747423415970736,137.064178172112,0.108826784663071,353.31653484662,1.7556745410737,0.712757890663678,1.66458527395834,2.02049327991319,218.541463005029,1.93278069881648,102.754308523955,0.655821097403837,2.33541472604166,1.15083589392231,291.283186863718,1.28805425231136,253.10575417574,0.344178902596163,487.611901276739,2.07104490469881,0.25,0.25,0.25,0.25,1,4,311.512635664212,108.022999226508,0.378699937468635,0.376376750534643,534.860767405386,0.988948086931995,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-2.31935876304412,45.9840997120305,85.2286074436447,4960,245,1911.31096958114,3630.73254935104
